날짜,시가,고가,저가,종가,거래량,등락률,ticker,name
2025-10-17,144500,144800,140500,142000,209451,-2.1364576154376294,483650,달바글로벌
2025-10-17,2050,2060,2030,2060,23454,-0.4830917874396135,019680,대교
2025-10-17,1240,1250,1236,1247,6224,-0.5582137161084529,019685,대교우B
2025-10-17,6580,6720,6500,6700,26889,1.82370820668693,006370,대구백화점
2025-10-17,8970,9170,8950,9050,150652,-0.9846827133479212,008060,대덕
2025-10-17,9150,9200,9030,9090,3501,-0.7641921397379913,00806K,대덕1우
2025-10-17,32650,33800,32000,32300,1186284,-3.003003003003003,353200,대덕전자
2025-10-17,10900,11010,10780,10850,12842,-1.3636363636363635,35320K,대덕전자1우
2025-10-17,10040,10130,9800,9840,257845,1.6528925619834711,000490,대동
2025-10-17,0,0,0,15040,0,0.0,008110,대동전자
2025-10-17,4360,4455,4280,4335,56649,-1.3651877133105803,005750,대림바스
2025-10-17,2790,2825,2710,2710,8556,-2.867383512544803,006570,대림통상
2025-10-17,21200,21300,21050,21100,118077,-0.9389671361502347,001680,대상
2025-10-17,16750,16890,16570,16740,8122,-0.41641879833432477,001685,대상우
2025-10-17,9280,9310,9050,9100,90017,-1.9396551724137931,084690,대상홀딩스
2025-10-17,13190,14450,13110,13830,66941,3.055141579731744,084695,대상홀딩스우
2025-10-17,4180,4200,4085,4145,103678,-0.8373205741626795,128820,대성산업
2025-10-17,8110,8140,8060,8070,20406,-0.7380073800738007,117580,대성에너지
2025-10-17,8470,8470,8310,8350,14769,-1.6489988221436984,016710,대성홀딩스
2025-10-17,4450,4450,4420,4445,39996,-0.11235955056179776,0030R0,대신밸류리츠
2025-10-17,27200,27300,26300,26700,818535,-2.376599634369287,003540,대신증권
2025-10-17,19770,19840,19600,19770,35469,0.0,003547,대신증권2우B
2025-10-17,20900,21000,20650,20800,49349,-0.4784688995215311,003545,대신증권우
2025-10-17,1535,1535,1438,1530,1109052,-0.6493506493506493,009190,대양금속
2025-10-17,1130,1130,1113,1114,385543,-1.415929203539823,014160,대영포장
